CREDIT_REQUEST_ID,CREDIT_AMOUNT,CREDIT_DURATION,PURPOSE,INSTALLMENT_COMMITMENT,OTHER_PARTIES,CREDIT_SCORE,CHECKING_BALANCE,SAVINGS_BALANCE,EXISTING_CREDITS,ASSETS,HOUSING,QUALIFICATION,JOB_HISTORY,AGE,SEX,MARITAL_STATUS,NUM_DEPENDENTS,RESIDENCE_SINCE,OTHER_PAYMENT_PLANS
2158,3390,12,Tuition,4,None,766,-310,356,1,Vehicle,own,unskilled,22,45,M,Married,1,1,bank
1819,158570,36,Other,2,Co-Applicant,714,-843.1,965,1,Vehicle,own,highly skilled,0,43,M,Divorced,1,3,none
2111,14490,6,Business,1,None,631,214,2935,2,Vehicle,own,skilled,15,33,M,Divorced,2,2,bank
1809,92830,42,Vehicle,1,None,774,388,251,1,None,free,highly skilled,0,55,M,Single,1,2,bank
29,24150,7,Consumer Goods,3,Guarantor,722,1709,811,1,Home,own,skilled,3,34,M,Single,1,2,none
94,36170,24,Consumer Goods,4,Co-Applicant,364,3257,0,2,None,rent,skilled,16,34,M,Single,1,4,none
518,71270,36,Consumer Goods,2,None,492,0,541,2,Investments,rent,skilled,1,23,F,Married,1,4,none
633,14440,15,Consumer Goods,4,None,697,115,0,1,Investments,own,skilled,1,23,M,Single,1,1,none
509,14130,24,Consumer Goods,4,None,700,0,173,1,Investments,own,skilled,2,28,M,Married,1,2,none
373,21460,10,Consumer Goods,1,None,334,0,292,2,Home,rent,skilled,1,23,F,Married,1,3,none
1296,99600,48,Consumer Goods,1,None,682,1508,326,1,Vehicle,own,skilled,1,26,F,Married,1,2,none
1743,31600,21,Consumer Goods,4,None,739,0,0,1,Investments,own,skilled,14,41,M,Single,1,3,none
849,13640,9,Consumer Goods,3,None,701,-795.48,424,1,Home,own,skilled,5,59,M,Single,1,4,none
1606,28280,24,Consumer Goods,4,None,760,-972.78,5185.42,1,Home,own,skilled,1,22,M,Single,1,4,stores
808,9300,12,Consumer Goods,4,None,321,0,0,4,Home,own,skilled,21,65,M,Single,1,4,none
1257,26840,24,Consumer Goods,4,None,571,0,417,2,Home,own,unskilled,3,35,M,Single,1,2,none
1397,25780,12,Consumer Goods,3,None,709,-576.58,251,1,None,free,highly skilled,0,55,F,Married,1,4,none
2900,41530,18,Consumer Goods,2,Co-Applicant,725,-467.22,387,1,Vehicle,own,skilled,2,42,M,Single,1,3,none
2475,12450,18,Consumer Goods,4,None,421,586,941,1,Vehicle,own,skilled,1,33,M,Married,1,2,none
2093,7970,12,Consumer Goods,4,None,422,0,0,1,Investments,own,unskilled,11,33,F,Married,2,3,bank
2572,59540,30,Consumer Goods,3,Co-Applicant,310,0,143,1,Vehicle,own,skilled,4,38,M,Single,1,2,none
2998,8040,12,Consumer Goods,4,None,671,0,658,1,Vehicle,own,skilled,20,38,M,Single,1,4,none
2449,14240,12,Consumer Goods,3,None,709,2105,0,1,Home,own,highly skilled,24,55,F,Married,1,4,none
2825,37800,18,Consumer Goods,3,None,323,0,912,2,Vehicle,own,highly skilled,1,35,M,Divorced,1,2,none
2094,36170,24,Consumer Goods,4,Co-Applicant,302,4210,0,2,None,rent,skilled,16,34,M,Single,1,4,none
